"","latitude","longitude","freq"
"1",-72.00194,2.53389,1
"2",-71.25054,-68.70461,5
"3",-48.83333,69.01667,2
"4",-44.86836,170.61009,1
"5",-44.4,171.25,1
"6",-43.64578,172.74586,2
"7",-42.76667,147.53333,1
"8",-42.45658,171.22081,2
"9",-42,174,11
"10",-41.28664,174.77557,4
"11",-41.253,174.75424,2
"12",-41.22826,173.57018,1
"13",-41.21667,174.91667,1
"14",-41,174,1
"15",-40.75,175.15,2
"16",-40.35636,175.61113,1
"17",-40.11979,175.67426,1
"18",-39.63333,176.85,1
"19",-39.59167,174.28333,1
"20",-39.16667,174.66667,1
"21",-38.66667,178.01667,1
"22",-38.65,178,3
"23",-38.00228,-57.55754,2
"24",-37.814,144.96332,12
"25",-37.8,144.98333,1
"26",-37.75,145,1
"27",-37.32167,-59.13316,1
"28",-36.86667,174.76667,4
"29",-36.85,174.78333,1
"30",-36,-60,5
"31",-35.4264,-71.65542,1
"32",-35.28346,149.12807,4
"33",-34.92866,138.59863,2
"34",-34.83346,-56.16735,2
"35",-34.76088,-58.40632,1
"36",-34.75,-58.58333,1
"37",-34.72418,-58.25265,1
"38",-34.70252,-58.3955,1
"39",-34.63401,-58.79138,1
"40",-34.6,-58.45,1
"41",-34.48333,150.85,1
"42",-34,-64,14
"43",-33.92584,18.42322,7
"44",-33.91799,25.57007,1
"45",-33.86785,151.20732,14
"46",-33.8661,151.20728,1
"47",-33.56668,18.48335,1
"48",-33.45694,-70.64827,15
"49",-33.41665,149.5806,1
"50",-33.03932,-71.62725,1
"51",-33.02457,-71.55183,3
"52",-33,-56,1
"53",-33,146,1
"54",-32.94682,-60.63932,2
"55",-32.94588,-66.00268,1
"56",-32.92715,151.77647,1
"57",-32.89084,-68.82717,1
"58",-32.73308,151.5574,1
"59",-32.68333,116.66667,1
"60",-32.56066,-60.76046,2
"61",-32.1485,151.8346,1
"62",-31.71868,115.73839,1
"63",-31.63333,-60.7,1
"64",-31.5667,-58.525,2
"65",-31.5375,-68.53639,2
"66",-31.38333,-57.96667,1
"67",-30.03306,-51.23,2
"68",-30,-71,13
"69",-30,135,1
"70",-29.72528,31.08583,1
"71",-29.15627,26.35116,1
"72",-29.02006,16.73707,1
"73",-29,24,6
"74",-29,30,1
"75",-28.66056,-56.00444,1
"76",-28.3093,23.58719,2
"77",-28.06046,25.40351,1
"78",-28.00029,153.43088,2
"79",-27.98644,26.70661,1
"80",-27.46794,153.02809,8
"81",-27.36679,-70.3314,1
"82",-27.21417,-49.64306,1
"83",-27,-50,2
"84",-26.90778,-48.66194,1
"85",-26.9,27.8833,1
"86",-26.5,26,1
"87",-26.20227,28.04363,6
"88",-26.1989,28.31262,1
"89",-26.1333,-59.6,1
"90",-25.85891,28.18577,1
"91",-25.74486,28.18783,2
"92",-25.70546,28.31495,1
"93",-25.42778,-49.27306,1
"94",-25.30066,-57.63591,3
"95",-25.00369,152.84328,1
"96",-25,25.75,1
"97",-25,122,8
"98",-25,135,17
"99",-24.19456,-65.29712,1
"100",-23.68611,-46.62278,1
"101",-23.5475,-46.63611,4
"102",-23.52296,148.15784,2
"103",-23.4933,-61.9267,38
"104",-23.17944,-45.88694,2
"105",-22.90278,-43.2075,10
"106",-22.88333,-43.10361,1
"107",-22.82223,47.82615,3
"108",-22.0175,-47.89083,1
"109",-21.1,55.6,1
"110",-20.88231,55.4504,1
"111",-20.81972,-49.37944,2
"112",-20.25417,57.74528,2
"113",-20,145,6
"114",-19.92083,-43.93778,1
"115",-19.78333,-66.41667,2
"116",-19.74833,-47.93194,1
"117",-19.2,29.8,1
"118",-18,-44,1
"119",-17.82772,31.05337,2
"120",-17.68333,-149.58333,1
"121",-16.67861,-49.25389,1
"122",-15.58071,-49.63623,1
"123",-15.5,35,1
"124",-13.5,34,1
"125",-13,-56,1
"126",-12.97111,-38.51083,1
"127",-12.05658,-77.11814,1
"128",-12.04318,-77.02824,9
"129",-11.41667,14.3,1
"130",-10.0901,123.7484,1
"131",-10,-76,4
"132",-10,-55,10
"133",-10,180,1
"134",-8.74,117.5333,2
"135",-8.65,115.21667,2
"136",-8.3,157.11667,1
"137",-8.11861,-35.09222,1
"138",-7.2024,107.8878,1
"139",-6.59444,106.78917,3
"140",-6.21462,106.84513,4
"141",-6,35,2
"142",-6,147,2
"143",-5.1875,-37.34417,1
"144",-5.11306,105.30667,1
"145",-5.08917,-42.80194,3
"146",-5.05583,-79.35806,1
"147",-5,-63,3
"148",-5,-40,1
"149",-5,120,8
"150",-4.94566,140.80319,2
"151",-4.77609,11.86352,1
"152",-4.69214,-47.34302,1
"153",-4.32142,15.30807,1
"154",-4.05466,39.66359,3
"155",-3.71722,-38.54306,1
"156",-3.41667,114.85,4
"157",-3.20333,-52.20639,1
"158",-2.233,-80.91039,1
"159",-2.18194,-79.89167,4
"160",-2,-79.83333,1
"161",-2,-77.5,5
"162",-1.96276,-79.72402,1
"163",-1.45583,-48.50444,7
"164",-1.28333,36.81667,13
"165",-1.02863,-79.46352,1
"166",-0.75,37,1
"167",-0.61179,30.55573,2
"168",-0.22985,-78.52495,2
"169",0,0,8092
"170",0,25,1
"171",0,120,3
"172",0.16667,10,1
"173",0.31628,32.58219,9
"174",0.35333,32.75528,1
"175",0.5,32,4
"176",1,7,1
"177",1,38,4
"178",1.36667,103.8,5
"179",1.421,172.984,1
"180",1.4655,103.7578,1
"181",1.61438,-75.60623,10
