"","x"
"1","RT @elonmusk: Here is the latest SpaceX travel ad for the flight around the moon &amp; into deep space. Maybe needs a few edits ... https://t.c…"
"2","Elon Musk - CEO of Tesla Motors and SpaceX | Entrepreneurship | Khan Aca... https://t.co/tfQTjtKday via @YouTube"
"3","RT @ElonMusk_Newz: SpaceX prepping for two launches from KSC, landing at Cape https://t.co/Uv3K5Icu0F"
"4","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"5","Space-X Successfully Lands #Rocket Vertically On Ocean Platform

https://t.co/3tvyaKfEBL

#spacex #falcon9 #elonmusk https://t.co/iQyjGSffYr"
"6","RT @TomHall: Up Close &amp; Personal

with @Boeing’s New

""Skinny"" Spacesuit.

Built for #Space #Tourism!

������

#Travel #SpaceX #Travel
https://t…"
"7","RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/GQsxHPIns8"
"8","RT @ElonMusk_Newz: SpaceX prepping for two launches from KSC, landing at Cape https://t.co/Uv3K5Icu0F"
"9","@srhstevenson Tell me about it. ������. Maybe we should all contacts @SpaceX for a vacation say, to the moon!!

Earths l… https://t.co/ESgOM7VTzg"
"10","A handy dandy list of upcoming launches for Space X.
https://t.co/y6A911QZCE"
"11","RT @Trekker2000: @NatGeoChannel @elonmusk @SpaceX @AstronautAbby Excited for the next episode of  #MARS https://t.co/7Ut3WsnyP5"
"12","SpaceX announces date for second Hyperloop pod competition https://t.co/yqyvCGO0qj"
"13","Despega cohete Falcon 9 de SpaceX, después de unos minutos regresa exitosamente https://t.co/krtQ60lDPx"
"14","老美就是有意思 RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/hEtq0V9wY0"
"15","RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/GQsxHPIns8"
"16","RT @ElonMuskNewsOrg Awaiting #Mars visit abroad @SpaceX Rocket?Chill out &amp; wear the TShirt designed by @elonmusk . https://t.co/rskQaN1C8q"
"17","SpaceX доставила на Землю результаты экспериментов с МКС"
"18","@masterr_jedi View that Flickr photostream with style using Flickrock! https://t.co/MLRDtq72e4"
"19","Hay más pendejadas en mi cabeza, que estrellas en el universo observable…

No lo digo yo, lo dicen la @NASA   Y @SpaceX"
"20","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"21","SpaceX готовит испытательный запуск Falcon Heavy https://t.co/E7jIA9lNGS"
"22","@VijayveerT Get our curated publication about Elon Musk, SpaceX, Tesla, Hyperloop, SolarCity, &amp; OpenAI https://t.co/uhzxzvIELZ"
"23","SpaceX Landing Photo #flatearth #nasa #SpaceX https://t.co/TpGos8LTSr"
"24","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut e.. Related Articles: https://t.co/X0emPBdzcN"
"25","RT @TomHall: Up Close &amp; Personal

with @Boeing’s New

""Skinny"" Spacesuit.

Built for #Space #Tourism!

������

#Travel #SpaceX #Travel
https://t…"
"26","@RohitMandlik7 Did SpaceX land on Mars yet? We'll tell you when it happens. Subscribe to Elon Musk News https://t.co/uhzxzvIELZ"
